id,中文名称【所有用到道具名称的地方都是读这里】,插件用【作为插件json文件的名称，不能有空格】,家园图鉴解锁需要的碎片数量,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景】",描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机
287,无球锯齿蕨,JaggedFern,,"1",,,#c0aba1d红土地#n特有的古老植物，叶片上锯齿极为锋利，有些还会长出@item_12619#，一但粘在身上就难以抖开#r遇到时请尽量绕道而行，尤其不建议空手触碰,,64
288,结球锯齿蕨,RipeJaggedFern,,"1",,,#c0aba1d红土地#n特有的古老植物，叶片上锯齿极为锋利，有些还会长出@item_12619#，一但粘在身上就难以抖开#r遇到时请尽量绕道而行，尤其不建议空手触碰,,64
289,锯齿碎石墙,JaggedStonewall,,"1",,,缠上@item_12618#后，@item_548#的防御能力显著提高，现在不但可以拦住怪物，还能把碰到的怪物弹开#r#c0aba1d小贴士#n：不太建议拿来圈养动物,,64
290,锯齿青石墙,JaggedMossyRockWall,,"1",,,缠上@item_12618#后，@item_549#的防御能力显著提高，现在不但可以拦住怪物，还能把碰到的怪物弹开#r#c0aba1d小贴士#n：不太建议拿来圈养动物,,64
291,锯齿星球岩墙,JaggedHorasrockwall,,"1",,,缠上@item_12618#后，@item_572#的防御能力显著提高，现在不但可以拦住怪物，还能把碰到的怪物弹开#r#c0aba1d小贴士#n：不太建议拿来圈养动物,,64
292,椰树苗,CoconutSaplings,,"1",,,椰子种在地里后长出的苗，过段时间就会长成椰树了！,,64
294,巨大椰叶,CoconutLeaves,,"1",,,这么大一片叶子，做为#c0aba1d燃料#n使用的话似乎可以烧很久,,64
295,大椰子,BigCoconut,,"1",,,种植在@item_103#中可长成椰树#r#c0aba1d椰树#n上结出的巨大果实，小心别站在它下面，被砸中可不是闹着玩的,,64
296,异化巨大椰叶,RedCoconutLeaves,,"1",,,受红土影响整个叶片的颜色都发生了巨变，内部积聚了大量的不稳定物质，做为#c0aba1d燃料#n使用的话似乎可以烧的更久了。,,64
297,异化大椰子,RedBigCoconut,,"1",,,受#c0aba1d红土#n影响连椰子也发生了变化，内部聚集了大量不稳定物质，使得椰子无法继续种植、不可食用#r听说海盗似乎很喜欢用异化椰子制作#c0aba1d炮弹#n，不妨试试！,,64
298,燃烧的小火炬,SmallTorch,,"1",,100001,放置后可持续燃烧一段时间并照亮周围，之后便会熄灭，接触明火可再次被点燃，例如：手持@item_298#点击熄灭的、或是手持@item_299#点击正在燃烧的@item_1200##r小贴士：小火炬在#c0aba1d雨天#n会被雨水浇灭且无法点燃,,64
299,熄灭的小火炬,SmallTorch(off),,"1",,100001,已经熄灭的小火炬，接触明火可再次被点燃，例如：手持@item_298#点击熄灭的、或是手持@item_299#点击正在燃烧的@item_1200##r小贴士：小火炬在#c0aba1d雨天#n会被雨水浇灭且无法点燃,,64
300,风铃花,Bellflowers,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_431##r手持还可引导#c0aba1d稻草人跟随#n,可在野外采集，也可在@item_103#中种植@item_431#获得,64
301,若兰,Ruolan,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_432#,可在野外采集，也可在@item_103#中种植@item_432#获得,64
302,星辰花,StarFlower,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_433#,可在野外采集，也可在@item_103#中种植@item_433#获得,64
303,龙血花,DragonFlower,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_434#,可在野外采集，也可在@item_103#中种植@item_434#获得,64
304,风信子,Hyacinth,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_435#,可在野外采集，也可在@item_103#中种植@item_435#获得,64
305,龙爪草,DragonGrass,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_436#,可在野外采集，也可在@item_103#中种植@item_436#获得,64
306,龙血树,DragonTree,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_437#,可在野外采集，也可在@item_103#中种植@item_437#获得,64
307,红色忘忧草,RedMaguey,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_438#,可在野外采集，也可在@item_103#中种植@item_438#获得,64
308,橙色忘忧草,OrangeMaguey,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_439#,可在野外采集，也可在@item_103#中种植@item_439#获得,64
309,灰色忘忧草,GreyMaguey,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_440#,可在野外采集，也可在@item_103#中种植@item_440#获得,64
310,粉色忘忧草,PinkMaguey,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_441#,可在野外采集，也可在@item_103#中种植@item_441#获得,64
311,雪滴花,WhiteFlower,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_442#,可在野外采集，也可在@item_103#中种植@item_442#获得,64
312,黄钟花,YellowFlower,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_443#,可在野外采集，也可在@item_103#中种植@item_443#获得,64
313,月季,Rosebush,,"1",,100009,可制作@item_11228#和高级食物，也可通过@item_800#加工成@item_444#,可在野外采集，也可在@item_103#中种植@item_444#获得,64
314,红藻,RedAlga,,"1",,100009,是制作@item_12715#的主要材料,生长在#c0aba1d深海#n海底，在热泉周围时会发出微弱的光亮,64
315,游戏版本过低,,,"1",,,,,64
316,游戏版本过低,,,"1",,,,,64
317,游戏版本过低,,,"1",,,,,64
318,游戏版本过低,,,"1",,,,,64
319,游戏版本过低,,,"1",,,,,64
320,游戏版本过低,,,"1",,,,,64
321,桃花堆,PeachBlossom,,"1",,100009,芳草鲜美落英缤纷,出现在#c0aba1d桃树林中#n，用铲类工具采集获得,64
322,小花堆,Blossom,,"1",,100009,落花时节又逢君,出现在#c0aba1d桃树林中#n，用铲类工具采集获得,64
323,落叶堆,FallenLeaves,,"1",,100009,无边落木萧萧下,出现在#c0aba1d桃树林中#n，用铲类工具采集获得,64
324,樱桃木果实,FruitingCherryTreeLeaves,,"1",,100009,蕴含着成熟樱桃的树叶，破坏后可以得到@item_12500#,,64
325,落叶松木果实,FruitingLarchTreeLeaves,,"1",,100009,蕴含着成熟松果的树叶，破坏后可以得到@item_12503#,,64
326,乔木果实,FruitingArborTreeLeaves,,"1",,100009,蕴含着成熟乔木果实的树叶，破坏后可以得到@item_378#,,64
327,珍木果实,FruitingRareTreeLeaves,,"1",,100009,蕴含着成熟氧气果的树叶，破坏后可以得到@item_12583#,,64
328,红杉木果实,FruitingCedarTreeLeaves,,"1",,100009,蕴含着成熟红杉果的树叶，破坏后可以得到@item_11403#,,64
329,核桃木果实,FruitingWalnutTreeLeaves,,"1",,100009,蕴含着成熟核桃的树叶，破坏后可以得到@item_12603#,,64
330,桃花木果实,FruitingPeachTreeLeaves,,"1",,100009,蕴含着成熟桃子的树叶，破坏后可以得到@item_12601#,,64
331,白杨木果实,WhiteYangFruit,,"1",,100009,蕴含着成熟白杨果的树叶，破坏后可以得到@item_12604#,,64
332,粗樱桃木树枝,CoarseCherryTreeBranch,,"1",,100010,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
333,细樱桃木树枝,FineCherryTreeBranch,,"1",,100011,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐，也可以作为#c0aba1d雪人的鼻子#n,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
334,粗落叶松树枝,ThickLarchTreeBranch,,"1",,100012,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
335,细落叶松树枝,FineLarchTreeBranch,,"1",,100013,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐，也可以作为#c0aba1d雪人的鼻子#n,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
336,粗珍木树枝,ThickRareTreeBranch,,"1",,100014,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
337,细珍木树枝,ThinRareTreeBranch,,"1",,100015,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐，也可以作为#c0aba1d雪人的鼻子#n,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
338,粗核桃树树枝,ThickWalnutTreeBranch,,"1",,100016,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
339,细核桃树树枝,ThinWalnutTreeBranch,,"1",,100017,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐，也可以作为#c0aba1d雪人的鼻子#n,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
340,粗桃花树树枝,ThickPeachTreeBranch,,"1",,100018,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
341,细桃花树树枝,ThinPeachTreeBranch,,"1",,100019,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐，也可以作为#c0aba1d雪人的鼻子#n,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
342,粗白杨木树枝,ThickPoplarTreeBranch,,"1",,100020,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
343,细白杨木树枝,ThinPoplarTreeBranch,,"1",,100021,可在@item_800#加工成各种工具和道具，也可作为燃料#r用#c0aba1d斧类工具#n可快速砍伐，也可以作为#c0aba1d雪人的鼻子#n,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
344,玉米粉,Cornmeal,,"2",,,是烹饪的基础原材料，可做许多菜品,,64
345,棉花树苗,WildCottonSapling,,,,100009,棉花树的幼苗,,64
346,巨型扇贝,GiantScallops,,"1",,,生长在海里的大型贝类，偶尔会被冲刷到岸边，在水中每过一段时间会自行打开，运气好的话能在里面发现@item_11655#！,,64
348,锰块,ManganeseBlock,,"1",,,闪闪发光的方块，由大量@item_12614#加工制成,,64
349,粗红杉木树枝,ThickPoplarTreeBranch,,"1",,100020,可在@item_800#加工成各种工具和道具，也可作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
350,细红杉木树枝,ThinPoplarTreeBranch,,"1",,100021,可在@item_800#加工成各种工具和道具，也可作为燃料，也可以作为#c0aba1d雪人的鼻子#n,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
351,光束线,,,,,,,,64
352,星能光束器,Thrower,,"1",,100017,#r接收到#c0aba1d星能信号#n，进行传导星能信号，被#c0aba1d任何开关按钮感压板#n开启时，输出强度为15星能信号光束。,,64
353,非门,,,"1",,,非门放置后可以持续输出#c0aba1d星能信号#n，非门的输入端接收到信号后将不会输出星能信号，非门的输出端始终和输入端始终保持相反。,,64
354,与门,,,"1",,100017,与门两侧输入端需同时接收到#c0aba1d星能信号#n后，输出端才会输出#c0aba1d星能信号#n。,,64
355,或门,,,"1",,100017,或门两侧输入端其中一个接收到#c0aba1d星能信号#n后，输出端就会输出#c0aba1d星能信号#n。,,64
356,星能分流器,,,"1",,100017,分流器的输入端接收到信号时，处于开启的输出端输出接收到的#c0aba1d星能信号#n。每个输出端可以进行交互切换输出端的#c0aba1d开启/关闭状态#n。,,64
357,星能延时器,,,"1",,100017,放置后再次使用可#c0aba1d调节星能信号间隔#n，每变暗一格，信号间隔+0.1秒。,,64
358,开关,Switch,,"1",,100017,开关拉下后能开启@item_352#以及@item_353#。,,64
359,感压板-触碰,WoodenTransducer,,"1",,100017,放置后受到#c0aba1d任何压力#n时只能用来开启@item_352#以及@item_353#。,,64
360,感压板-普通,StoneTransducer,,"1",,100017,放置后受到#c0aba1d非道具压力#n时只能用来开启@item_352#以及@item_353#。,,64
361,感压板-生物,CreatureTransducer,,"1",,100017,放置后仅受到#c0aba1d生物压力#n时（无法检测到角色压力）只能用来开启@item_352#以及@item_353#。,,64
362,感压板-沙石,,,"1",,100017,放置后受到#c0aba1d非道具压力#n时只能用来开启@item_352#以及@item_353#。,,64
363,按钮-触碰,TouchButton,,"1",,100017,用来开启@item_352#以及@item_353#，只能放置在#c0aba1d方块侧面#n，能检测到挤压。#r对其使用@item_11070#可切换至#c0aba1d循环#n模式，间隔切换#c0aba1d开启/关闭状态#n。,,64
364,按钮-普通,Button,,"1",,100017,用来开启@item_352#以及@item_353#，#r只能放置在#c0aba1d方块侧面#n，恢复时间快。#r对其使用@item_11070#可切换至#c0aba1d循环#n模式，间隔切换#c0aba1d开启/关闭状态#n。,,64
365,星能阻隔器,,,"1",,100017,阻隔器默认将输入的信号#c0aba1d减半#n后输出，可以对阻隔器交互后切换阻隔档位，每个档位减少数值不同。,,64
366,星能计数器,,,"1",,100017,计数器背面输入端每接收一次星能信号，计数器记录的数字加1，侧面输入端接收到星能信号后，输出端会根据计数器记录的数字输出对应数值的信号强度。,,64
367,机械臂,,,"1",,100017,接收星能信号后机械臂会推出1格，断开星能后机械臂收回。#r在#c0aba1d断开星能#n下对其使用@item_11070#，可切换至信号模式，此模式下#c0aba1d星能信号强度#n决定推出的格数。#r推出过程中遇到方块，可以#c0aba1d推开方块#n。,,64
368,推拉机械臂,,,"1",,100017,接收星能信号后机械臂会推出1格，断开星能后机械臂收回。#r在#c0aba1d断开星能#n下对其使用@item_11070#，可切换至信号模式，此模式下#c0aba1d星能信号强度#n决定推出的格数。#r推出过程中遇到方块，可以#c0aba1d抓住方块#n。,,64
369,收集管道,,,"1",,100017,可以将#c0aba1d大口径端#n所对物品进行收集，并传输到#c0aba1d小口径端#n。,,64
370,传输管道,,,"1",,100017,可以将传入的物品传输到#c0aba1d传出口#n,,64
371,检测管道,,,"1",,100017,可以将传入的物品传输到#c0aba1d传出口#n，每传输一次物品会发出一次#c0aba1d星能信号#n，同时可以在检测管道界面选择可通过的传输物品。,,64
372,星能增压器,,,"1",,100017,接收星能信号后会将#c0aba1d进入增压器的物体#n投掷出去，#c0aba1d星能信号强度#n决定投掷力度,#c0aba1d请勿模仿任何游戏内行为#n,64
373,钥匙门,,,"1",,,需要@item_12709#才能开启的门,,64
374,星能比较器,,,"1",,100017,#c0aba1d比较模式：#n比较输入的星能信号，后端星能强度#c0aba1d≥#n侧端星能强度时才会输出星能信号。#r#c0aba1d随机模式：#n只有后端存在星能信号时，输出端会输出#c0aba1d随机强度#n星能信号；若侧端和后端同时存在星能信号，输出端会在几个信号中#c0aba1d随机选取#n进行输出。#r对其使用@item_11070#，会切换输入模式。#r在机械上也能生效。,,64
375,柠檬黄木板,YellowPlank,,"1",,100010,基础建筑材料，在木制建筑中被广泛使用,,64
376,柠檬黄楼梯,YellowStair,,"1",,100011,实木楼梯，从不同角度能摆放出不同的朝向,,64
377,柠檬黄薄板,YellowStep,,"1",,100011,四分之一格高实木薄板，可堆叠改变厚度,,64
378,乔木果实,ArborFruit,,"11",,,#c0aba1d食用#n后获得乔木种子，并获得短暂的跳跃加成,迷拉星雨林乔木上生长的果实,64
379,乔木果实方块,ArborFruitBlock,,,,,雨林乔木上生长的果实,,64
380,灌木丛树苗,BushesSapling,,"1",,100009,在@item_103#，一段时间后会长成@item_392#,,64
382,雨林乔木树苗,RainforestTreeSapling,,,,100009,在@item_103#，一段时间后会长成雨林乔木,,64
383,香蕉树苗,BananaTreeSapling,,"1",,100009,在@item_103#，一段时间后会长成香蕉树,破坏香蕉树叶有一定概率掉落,64
384,香蕉树叶,BananaTreeLeaf,,,,100009,可以用来做装饰，破坏后有几率掉落@item_383#,,64
385,香蕉方块,BananaBlock,,,,,美味的香蕉，可以用来驯服猴子,,64
386,香蕉树干,BananaTreeTrunk,,"1",,100009,香蕉树的树干，可以用来作为装饰,,64
387,星能算法器,,,"1",,100017,能将#c0aba1d后端输入#n的星能信号与#c0aba1d左右两端输入#n的星能信号进行#c0aba1d加减运算#n后输出。#r放置后再次使用，可以切换加减模式。,,64
390,花纹细柱,PatternedPillar,,"1",,100012,特殊的方块，一格内可以摆放多个，增加建造的可能性,,64
392,灌木丛,Shrub,,"1",,100009,雨林中生长的灌木，倒刺会令生物无法跳跃并受到伤害,,64
394,星光粉尘树叶,StardustLeaf,,"1",,100009,吸收了星光的树叶，会在晴天的夜晚出现，也可以作为#c0aba1d雪人的头饰#n,,64
395,雨林乔木树叶,RainforestTreeLeaf,,"1",,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
396,雨林之芯乔木,RainforestCoreWood,,"1",,100010,内部镶嵌着@item_11601#的乔木,,64
